0	考生	70
1	招生	63
2	直播员	152
3	孩子	47
4	比赛	54
5	玩家	61
6	考试	50
7	录取	75
8	治疗	56
9	txtrm	70
10	志愿	74
11	专辑	54
12	军事	53
13	sports	93
14	setcookie	70
15	星座	67
16	摄影	55
17	高考	65
18	演习	94
19	易车网	137
20	像素	71
21	住房	69
22	解放军	91
23	艺术	46
24	装修	56
25	本科	63
26	车型	73
27	患者	66
28	药品	65
29	房地产	55
30	作战	74
31	调控	72
32	病人	71
33	老公	67
34	导弹	86
35	成绩	54
36	拍摄	61
37	复习	74
38	台军	117
39	部队	68
40	球队	73
41	教师	53
42	照片	48
43	手术	68
44	医院	52
45	武器	62
46	高校	62
47	女人	45
48	绘画	80
49	双子座	97
50	美军	83
51	药物	69
52	详细资料	75
53	男人	47
54	报价	56
55	书法	80
56	报考	78
57	上半场	99
58	楼市	77
59	院校	66
60	装备	59
61	家长	66
62	三星	62
63	下半场	98
64	肿瘤	80
65	白羊座	101
66	训练	58
67	地板	73
68	结婚	59
69	网游	68
70	摄像头	78
71	球员	72
72	dy	102
73	主场	82
74	动画	55
75	伊朗	84
76	英语	49
77	教学	51
78	摄影师	90
79	战争	60
80	填报	92
81	我校	79
82	金牛座	99
83	教育部	75
84	谷歌	151
85	感情	54
86	处女座	97
87	奢侈品	103
88	htc	70
89	导演	67
90	歌曲	50
91	橱柜	95
92	艺术家	81
93	家具	63
94	台湾	50
95	乐队	71
96	联赛	73
97	物种	99
98	巨蟹座	98
99	地产	69
100	出台	63
101	双鱼座	97
102	得分	70
103	狮子座	97
104	android	70
105	相机	60
106	机身	80
107	天蝎座	97
108	购房	75
109	垂体	124
110	摩托罗拉	76
111	化疗	105
112	飞机	64
113	射手座	99
114	exe	78
115	恒星	105
116	水瓶座	97
117	进攻	74
118	房价	75
119	赛季	80
120	防守	82
121	数学	64
122	腺瘤	138
123	歌手	55
124	诺基亚	71
125	天秤座	99
126	爱情	47
127	观众	65
128	毕业生	67
129	centtime	70
130	centright	70
131	centleft	70
132	vs	88
133	医药	61
134	参数	61
135	培养	55
136	父母	58
137	提要	96
138	漫画	65
139	篮板	103
140	进球	82
141	家装	82
142	住宅	64
143	百度	65
144	比分	84
145	禁区	92
146	商品房	79
147	老师	50
148	陈琳	117
149	跳投	121
150	油画	91
151	瓷砖	94
152	蓝牙	81
153	智能	57
154	影片	63
155	团购	73
156	限购	129
157	犯规	96
158	高等	67
159	就业	61
160	医生	59
161	摩羯座	107
162	临床	71
163	战机	93
164	开发商	74
165	国防	76
166	资金	49
167	车展	82
168	命题	85
169	学科	68
170	分数	72
171	季后赛	106
172	玉器	100
173	预售	91
174	硕士	67
175	生源	96
176	潜艇	97
177	战略	53
178	幼儿园	75
179	医疗	55
180	分辨率	68
181	离婚	76
182	核电站	115
183	人口	64
184	研究生	66
185	上涨	65
186	互联网	47
187	军演	114
188	内置	69
189	军队	72
190	考研	68
191	招收	82
192	处理器	73
193	行货	90
194	文学	53
195	地球	66
196	壁纸	73
197	海军	82
198	研制	69
199	体育	45
200	胡适	116
201	镜头	67
202	题型	97
203	疾病	62
204	本赛季	94
205	航母	96
206	这首	70
207	学位	73
208	春夏	92
209	电视剧	72
210	画家	87
211	阿里山	125
212	科比	102
213	实木	96
214	分数线	92
215	会话	92
216	屏幕	62
217	玩法	94
218	烤箱	109
219	利比亚	117
220	科学家	76
221	商家	61
222	客场	88
223	小说	55
224	症状	72
225	演练	91
226	课程	58
227	试题	72
228	楼梯	82
229	发动机	73
230	妈妈	57
231	空军	86
232	太阳	55
233	索尼爱立信	88
234	队员	69
235	食品	52
236	空中	69
237	助攻	99
238	时尚	47
239	湖人	102
240	惠普	77
241	板材	89
242	购房者	91
243	风格	49
244	中药	76
245	土地	59
246	对手	61
247	张爱玲	109
248	情流感	152
249	冠军	63
250	景点	72
251	增长	50
252	战场	76
253	雕塑	84
254	副本	87
255	讲讲	99
256	此文	58
257	专科	73
258	鲁迅	90
259	演唱会	75
260	手袋	88
261	李宇春	83
262	贷款	66
263	闫妮	164
264	开启	72
265	发育	77
266	4s店	138
267	飞船	94
268	我军	98
269	设计师	71
270	重点	47
271	马刺	103
272	军方	93
273	冰川	103
274	领先	65
275	射门	95
276	wifi	137
277	林丹	120
278	球迷	73
279	命中	84
280	不中	100
281	白羊	111
282	营养	63
